,text,pos,target
16,All the girls went to sleep and the guys just sat in the floor and watched us_Ù÷â_Ù÷â,PDT  DT  NNS  VBD  IN  NN  CC  DT  NNS  RB  VBD  IN  DT  NN  CC  VBD  NN,1
17,@ChrisAOfficial I'm on the right side_Ù÷âÏÎ_Ù_üxxx,NNP  PRP  VBP  IN  DT  NN  NNP,1
18,"YALL LMFAOO RIGHT WHEN THE CHORUS CAME ON, A TEAR ROLLED DOWN HIS FACE https://t.co/aYuQDPtvsE","NNP  NNP  NNP  WRB  DT  NN  VBD  RP  ,  DT  JJ  VBD  IN  PRP$  NN  NNP",0
19,James Bond premier night at the @Everymancinema in Oxted with @SidiEdey. Let's hope it lives up to expectation! #SPECTRE,NNP  NNP  NN  NN  IN  DT  NNP  IN  NNP  IN  NNS  .  VB  PRP  VB  PRP  VBZ  RP  IN  NN  .  ADD  NNP,0
20,@SydnieJR except once the Hallmark movies start I won't get anything done!! _Ù÷__Ù__Ù_ã,NNP  IN  IN  DT  NNP  NNS  VBP  PRP  MD  RB  VB  NN  VBN  .  .  NNP  NN,1
21,You leave the group chat for more than 2 mins and you miss made shit,PRP  VBP  DT  NN  NN  IN  JJR  IN  CD  NNS  CC  PRP  VBP  VBD  NN,1
22,As opposed to Pump where it's like HI HOPE YOU LIKE DOING JUMPS WHERE YOU SPREAD YOUR FEET ACROSS THE ENTIRE STAGE,IN  VBN  TO  VB  WRB  PRP  VBZ  IN  NNP  NNP  PRP  VBP  VBG  NNP  WRB  PRP  VBP  PRP$  NN  IN  DT  NN  NNS,0
23,All the #magic in Hath No FURY is based on REAL #Magick! https://t.co/jwpsVhAU1E,PDT  DT  NN  NN  IN  NNP  DT  NNP  VBZ  VBN  IN  NNP  NNP  NNP  .  NNP,0
24,"Me the week of Brandon's birthday: there's no such thing as a birthday week u weirdo
Me November 1st: it's my birthday month, bow down to me","PRP  DT  NN  IN  NNP  POS  NN  :  EX  VBZ  DT  JJ  NN  IN  DT  NN  NN  PRP  NN  _SP  NNP  NNP  NN  :  PRP  VBZ  PRP$  NN  NN  ,  VB  RP  IN  PRP",1
25,And got more yards AND points than the Jets gave up all season. https://t.co/gdfkaOxcDD,CC  VBD  JJR  NNS  CC  NNS  IN  DT  NNPS  VBD  RP  DT  NN  .  FW,0
26,Did Alot Up In The Past Ion Wont Back,VBD  NNP  RP  IN  DT  NNP  NNP  MD  RB  VB,0
27,This boy was on the El wit his 3 daughters and they all was under 5,DT  NN  VBD  IN  DT  NNP  NN  PRP$  CD  NNS  CC  PRP  DT  VBD  IN  CD,1
28,@TheRiddler109 @CNN I mean it's not like Mainstream new media is supposed to feed you the fact nowadays...,NNP  RB  PRP  VBP  PRP  VBZ  RB  IN  NN  JJ  NNS  VBZ  VBN  TO  VB  PRP  DT  NN  RB  .,0
29,How many followers do you get everyday? I got 1 in the last day. Growing daily with https://t.co/JzckR3ub8H,WRB  JJ  NNS  VBP  PRP  VB  JJ  .  PRP  VBD  CD  IN  DT  JJ  NN  .  VBG  RB  IN  NN,0
30,"@onedirection Artist of the Year #AMAs

HO FAME",JJ  NN  IN  DT  NNP  NN  NNPS  _SP  NNP  NNP,0
31,@kbonimtetezi mheshimiwa travellers along that stretch of the road (lubao) r hurting and nobody seems to be raising this issue!,NN  VBZ  NNS  IN  DT  NN  IN  DT  NN  -LRB-  NNP  -RRB-  NN  NN  CC  NN  VBZ  TO  VB  VBG  DT  NN  .,0
32,Greenville Thursday. Yall holla you need anything. Know I'm the plug,NNP  NNP  .  UH  NN  PRP  VBP  NN  .  VBP  PRP  VBP  DT  NN,0
33,@MarkHicks1204 I went to the wrong Nandos but I found you eventually #10chilliesequalsfreenandos,IN  PRP  VBD  IN  DT  JJ  NNP  CC  PRP  VBD  PRP  RB  $  CD,1
34,@AndyRobsonTips Cardiff or drew with the over 1.5 match goals sounds good to me,IN  NNP  CC  VBD  IN  DT  IN  CD  NN  NNS  VBZ  JJ  IN  PRP,0
35,"Those who break the rules are scum, but those who abandon their friends are worse than scum","DT  WP  VBP  DT  NNS  VBP  JJ  ,  CC  DT  WP  VBP  PRP$  NNS  VBP  JJR  IN  JJ",1
36,"Gala Bingo clubs bought for å£241m: The UK's largest High Street bingo operator, Gala, is being taken over byÛ_ https://t.co/XprInke1m2","NNP  NNP  NNS  VBN  IN  NNP  NNP  :  DT  NNP  POS  JJS  JJ  NNP  NN  NN  ,  NNP  ,  VBZ  VBG  VBN  RP  NN  NNP  NNP",0
37,"VIDEO: James Bond Spectre world premiere: After months of build up Spectre, the latestÛ_ https://t.co/uV38Wlg5bE #UK","NN  :  NNP  NNP  NNP  NN  NN  :  IN  NNS  IN  VBP  RP  NNP  ,  DT  NNP  NNP  NNP  NN  NNP",1
38,Best thing about having an audition on the west side is being able to eat lunch at Komodo,JJS  NN  IN  VBG  DT  NN  IN  DT  JJ  NN  VBZ  VBG  JJ  TO  VB  NN  IN  NNP,0
39,Discipline is the bridge between goals and accomplishment. - Jim Rohn,NN  VBZ  DT  NN  IN  NNS  CC  NN  .  :  NNP  NNP,0
40,"In the last 20 minutes that Wednesday fan has tweeted about us 3 times, no, not obsessed, not even a little bit _Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â","IN  DT  JJ  CD  NNS  WDT  NNP  NN  VBZ  VBN  IN  PRP  CD  NNS  ,  UH  ,  RB  VBN  ,  RB  RB  DT  JJ  NN  NNP  NNP",0
41,"Once it is complete, it will lift off and attempt to connect with the alpha point of the rift we are observing. (1-2)","IN  PRP  VBZ  JJ  ,  PRP  MD  VB  RP  CC  VB  TO  VB  IN  DT  NN  NN  IN  DT  NN  PRP  VBP  VBG  .  -LRB-  CD  SYM  CD  -RRB-",1
42,Triggered Email: The Killer Conversion App https://t.co/obCkhxkOm7,VBN  NN  :  DT  NNP  NNP  NNP  NNP,0
43,camerons side of the bed smells SO bad,NNS  NN  IN  DT  NN  VBZ  RB  JJ,1
44,@wishbonecon are u going to the 1.30 one ??,XX  VBP  PRP  VBG  IN  DT  CD  CD  .  .,1
45,@Hakeem_NLT Boii make the wafflw link to the reference then the word count should clear up lol,NFP  NNP  VBP  DT  NNP  VB  IN  DT  NN  RB  DT  NN  NN  MD  VB  RP  NN,0
46,"https://t.co/nRN2mGLd2E
Am I the only one who loves the part with Merlin and Regina's face? :D #OUAT",UH  _SP  VBP  PRP  DT  JJ  NN  WP  VBZ  DT  NN  IN  NNP  CC  NNP  POS  NN  .  :  VBG  VBN,1
47,"@Harry_Styles always remember, never forget you're the best and the greatest in the world just being you always you till the end of time YOU","NNP  RB  VBP  ,  RB  VB  PRP  VBP  DT  JJS  CC  DT  JJS  IN  DT  NN  RB  VBG  PRP  RB  PRP  IN  DT  NN  IN  NN  PRP",0
48,The POLITICS of evidence + results in international development. https://t.co/T7N2c2TTBf - Looks great. h/t @duncan_ids @rosalindeyben +,DT  NNP  IN  NN  CC  NNS  IN  JJ  NN  .  LS  :  VBZ  JJ  .  LS  SYM  NN  NNP  VBZ  XX,0
49,"Please God, let me get a house that has a fireplace in the bedroom!! I have such great ideas for such a room..","UH  NNP  ,  VB  PRP  VB  DT  NN  WDT  VBZ  DT  NN  IN  DT  NN  .  .  PRP  VBP  JJ  JJ  NNS  IN  PDT  DT  NN  .",1
50,that's the 8% they have hidden.. UMPH. https://t.co/OnebBSAG93,DT  VBZ  DT  CD  NN  PRP  VBP  VBN  .  NNP  .  ADD,1
51,@WigingtonLinda that's nice for this time of the year. tomorrow they say it should be around 20,FW  DT  VBZ  JJ  IN  DT  NN  IN  DT  NN  .  NN  PRP  VBP  PRP  MD  VB  RB  CD,1
52,"(Surgical enhancements are for a different part of the body, and, I was kidding...)","-LRB-  JJ  NNS  VBP  IN  DT  JJ  NN  IN  DT  NN  ,  CC  ,  PRP  VBD  VBG  .  -RRB-",0
53,I swear if she touches me one more time. _Ù÷__Ù÷_ she pisses me off. It's stupid cause my friends fall for the trick as well _Ù÷Ô,PRP  VBP  IN  PRP  VBZ  PRP  CD  JJR  NN  .  NNP  NNP  NNP  PRP  VBZ  PRP  RP  .  PRP  VBZ  JJ  IN  PRP$  NNS  VBP  IN  DT  NN  RB  RB  NNP  .,0
54,"She is not beautiful m, and I'm talking beyond the superficial beauty.","PRP  VBZ  RB  JJ  NN  ,  CC  PRP  VBP  VBG  IN  DT  JJ  NN  .",0
55,bad day in the office - but nice to catch up with @thedjbrisk so wish we had more time to catch up x,JJ  NN  IN  DT  NN  :  CC  JJ  TO  VB  RP  IN  DT  RB  VBP  PRP  VBD  JJR  NN  TO  VB  RP  .,1
56,"James Walter invented the bolt-action rifle, liquor, sexual intercourse, and football-- in that order.","NNP  NNP  VBD  DT  NN  HYPH  NN  NN  ,  NN  ,  JJ  NN  ,  CC  NNP  IN  DT  NN  .",1
57,@Lov3rzWorldwide Say He is the one. The eternal. He doesn't have kids nor did anyone have Him. There is nothing like The One.,NFP  VB  PRP  VBZ  DT  CD  .  DT  NN  .  PRP  VBZ  RB  VB  NNS  CC  VBD  NN  VB  PRP  .  EX  VBZ  NN  IN  DT  NN  .,0
58,Now I Changed! I'm not the same Man I once Yesterday it's for the better watch &amp; take notes,RB  PRP  VBD  .  PRP  VBP  RB  DT  JJ  NN  PRP  RB  NN  PRP  VBZ  IN  DT  JJR  NN  CC  NNP  :  VB  NNS,0
59,Amazing: See Igbo Village In The United States OfåÊAmerica https://t.co/Z8A95hAQpE https://t.co/qdQ6HnE735,JJ  :  VB  NNP  NNP  IN  DT  NNP  NNP  NNP  XX  XX,1
60,"@R_M_Appleyard alarm wont work as you can't time the stops in Leeds. Too much traffic ect. A 20min bus ride can take 50 or 12 mins, ya know?","DT  NN  MD  RB  VB  IN  PRP  MD  RB  VB  DT  NNS  IN  NNPS  .  RB  JJ  NN  NN  .  DT  NN  NN  NN  MD  VB  CD  CC  CD  NNS  ,  PRP  VBP  .",1
61,"#Akinator, the Genie App, just guessed that I was thinking of  Katniss Everdeen's Daughter #what? how?","NNP  NNP  ,  DT  NNP  NNP  ,  RB  VBD  IN  PRP  VBD  VBG  IN  _SP  NNP  NNP  POS  NNP  NN  WP  .  WRB  .",1
62,"@TekifyUK I am trying to unbrick my Kindle fire, with a red screen. I followed your youtube video, and am using the unbrick tool.","NNP  PRP  VBP  VBG  TO  VB  PRP$  NNP  NN  ,  IN  DT  JJ  NN  .  PRP  VBD  PRP$  NN  NN  ,  CC  VBP  VBG  DT  JJ  NN  .",0
63,If you say someone like Wale or Meek or Wiz has gotten big in the past five years you're a moron. They were big in the mixtape game.,IN  PRP  VBP  NN  IN  NNP  CC  NNP  CC  NNP  VBZ  VBN  JJ  IN  DT  JJ  CD  NNS  PRP  VBP  DT  NN  .  PRP  VBD  JJ  IN  DT  NN  NN  .,0
64,Move Of The Week Double Leg Stretch Û_ : https://t.co/kxkCEFUxQB ... https://t.co/n7PtOHGaPQ,VB  IN  DT  NNP  NNP  NNP  NNP  NNPS  NNP  :  NNP  .  NNP,1
65,"@RepComstock You are supporting the Father of the Sequester for Speaker. Cut vet pensions, military, medicare. Shame on you","NNP  PRP  VBP  VBG  DT  NNP  IN  DT  NNP  IN  NNP  .  NN  NN  NNS  ,  NN  ,  NNP  .  NN  IN  PRP",1
66,Reimagining the #webdesign process by @InVisionApp - https://t.co/Vmb0OZU67e https://t.co/hFlWR8tfOl,VBG  DT  $  JJ  NN  IN  NNP  HYPH  NNP  NNS,0
67,@deptulahasrage Clemson only need to stack the line against FSU then they may not even score,NNP  NNP  RB  VBP  TO  VB  DT  NN  IN  NNP  RB  PRP  MD  RB  RB  VB,0
68,I can see now that there's no way I'm going to resist this Shattered Empire business. The Noto cover alone! https://t.co/nLmIC5xDmp,PRP  MD  VB  RB  IN  EX  VBZ  DT  NN  PRP  VBP  VBG  TO  VB  DT  NNP  NNP  NN  .  DT  NNP  NN  RB  .  NNP,1
69,@cringe_channel chris chan has the fame,NNP  NNP  NNP  VBZ  DT  NN,0
70,The accuracy though lol  https://t.co/frFforEeLC,DT  NN  IN  JJ  _SP  NN,1
71,"Im weakkkkk_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â
Tbh thats the only way to shut down girls who flex",PRP  VBP  NNP  _SP  NNP  DT  VBZ  DT  JJ  NN  TO  VB  RP  NNS  WP  VBP,0
72,"Thanks to the #ACA more adults are eligible for #Medicaid in #Illinois &amp; able to apply online.  @YoungInvincible

https://t.co/cfwlLqv4K9",NNS  IN  DT  $  NNP  JJR  NNS  VBP  JJ  IN  $  NNP  IN  $  NNP  CC  NNP  :  JJ  TO  VB  RB  .  _SP  NNP  _SP  NNS,1
73,"IBMSocialBiz: In the future, there will be a narrowing of the gap of people's abilities to use tools proficiently. JenniferMcClure #H2HChatÛ_","NN  :  IN  DT  NN  ,  EX  MD  VB  DT  NN  IN  DT  NN  IN  NNS  POS  NNS  TO  VB  NNS  RB  .  VB  NN  NNP  NNP",1
74,Chris Got On The Black Toe 1s _Ù÷_,NNP  NNP  IN  DT  NNP  NNP  NNP  NNP  NNP  NNP,0
75,@iampoojabalaji The day after his wedding anniversary... Sucks to suck,ADD  DT  NN  IN  PRP$  NN  NN  :  NNS  TO  VB,1
76,When you're 20 mins early to an advising appointment but the bitch before you goes over by 10 mins_Ù÷Ô,WRB  PRP  VBP  CD  NNS  RB  IN  DT  VBG  NN  CC  DT  NN  IN  PRP  VBZ  RB  IN  CD  NNS,1
77,https://t.co/EROGWToizO SissyÛªs wife loved the l Choosing Lingerie ÛÒ A Very Important Role For Sissy https://t.co/sRf506OsHy,NNP  NNP  NN  VBD  DT  NNP  NNP  NNP  NN  DT  RB  JJ  NN  IN  NNP  NNP,1
78,@paulmgardner @cwellssun I knew a guy who was in the military who used it because it doesn't show up on drug tests.,-LRB-  ``  PRP  VBD  DT  NN  WP  VBD  IN  DT  NN  WP  VBD  PRP  IN  PRP  VBZ  RB  VB  RP  IN  NN  NNS  .,0
79,"My mom listening to ""Hello"" what's happening to the world",PRP$  NN  VBG  TO  ``  UH  ''  WP  VBZ  VBG  IN  DT  NN,0
80,"If ion work one job , I work the other .","IN  NN  NN  CD  NN  ,  PRP  VBP  DT  JJ  .",1
81,Lrt me at work allllllllllllllll the time!!!!!,NNP  PRP  IN  NN  RB  DT  NN  .  .  .  .  .,1
82,"Flexible Diet Plan: Revealed for the first time, secret methods for losing weight, without having to give upÛ_ https://t.co/yGQYYVCYKi","NNP  NNP  NNP  :  VBN  IN  DT  JJ  NN  ,  JJ  NNS  IN  VBG  NN  ,  IN  VBG  TO  VB  NNP  NNP  ADD",1
83,Total loss of respect for the little twat https://t.co/eQstpYJEck,JJ  NN  IN  NN  IN  DT  JJ  NN  NN,0
84,"he needs his own intro for when you pick up the phone 'CLIFFORD ELLIS, THE GREATEST BROCKER IN THE WORLD' lmfao","PRP  VBZ  PRP$  JJ  NNP  IN  WRB  PRP  VBP  RP  DT  NN  ``  NNP  NNP  ,  DT  NNP  NNP  IN  DT  NN  POS  NNS",0
85,Fortune favors the funny in Guatemala election: https://t.co/E1Qa16AweK https://t.co/c8nvJn3VaN,NNP  VBZ  DT  JJ  IN  NNP  NN  :  NNP  NNP,0
86,@megwacha Actually the UC announcement seems like it could be related to that.,VB  RB  DT  NNP  NN  VBZ  IN  PRP  MD  VB  VBN  IN  DT  .,0
87,Would Û÷The AffairÛª Be Easier To Watch If The Kids WerenÛªt Such Brats? [Spoilers]: The Showtime series The Affa... https://t.co/o6jpVaUFdz,MD  VB  NN  VB  JJR  TO  VB  IN  DT  NNPS  NNP  JJ  NNS  .  -LRB-  NNP  -RRB-  :  DT  NNP  NN  DT  NNP  NFP  NNP,1
88,"NBD, This Comet Is Spewing Gallons of Wine In Space: Scientists have discovered that the comet Lovejoy is spew... https://t.co/42Fa4wwoA1","NNP  ,  DT  NNP  VBZ  VBG  NNS  IN  NNP  IN  NN  :  NNS  VBP  VBN  IN  DT  NN  NNP  VBZ  VB  NFP  ADD",1
89,Stats for the day have arrived. 1 new unfollower. Stats via https://t.co/VuMDKp70A7.,NNS  IN  DT  NN  VBP  VBN  .  CD  JJ  NN  .  NNS  IN  ADD  .,0
90,#VivienLeigh Gone With The Wind Clark Gable Vivien Leigh #Photo https://t.co/yVO2B34jrw #Film #Actress,$  NNP  VBN  IN  DT  NNP  NNP  NNP  NNP  NNP  NNP  NNP  VBZ  NNP  NN  NN  NN,1
91,good seeing you tonight @Caspar_Lee _Ù÷÷ enjoy the film xx,JJ  VBG  PRP  NN  NNP  NNP  NNP  VB  DT  NN  .,1
92,"Kaito's song is about chasing after an idealized version of himself, but in the real world, he's alone. #starmyu https://t.co/TvLbxrYMRK","NNP  POS  NN  VBZ  IN  VBG  IN  DT  JJ  NN  IN  PRP  ,  CC  IN  DT  JJ  NN  ,  PRP  VBZ  JJ  .  NN  NN  ADD",0
93,Photo: The Fellowship of the Ring: Book One in the Lord of the RingsÛ_: https://t.co/4A1v5WdDd4 https://t.co/Hyosq3fr5e,NN  :  DT  NNP  IN  DT  NN  :  NNP  CD  IN  DT  NNP  IN  DT  NNP  NNP  :  IN  UH,1
94,"I kept telling myself the temptations would let me in,
And they did.","PRP  VBD  VBG  PRP  DT  NNS  MD  VB  PRP  RP  ,  _SP  CC  PRP  VBD  .",1
95,Photo: Snow Queen - Vlad Barbe | Kids &amp; Family |716822518: The Snow Queen is a fairy tale by Hans Christian... https://t.co/CC4qqNHvjY,NN  :  NNP  NNP  HYPH  NNP  NNP  NNP  NNPS  CC  NN  :  NN  NN  :  DT  NNP  NNP  VBZ  DT  NN  NN  IN  NNP  NNP  NFP  NN,0
96,"Fool me three times, fuck the peace signs
Load the chopper, let it rain on you","VB  PRP  CD  NNS  ,  VB  DT  NN  NNS  _SP  VB  DT  NN  ,  VB  PRP  VB  IN  PRP",1
97,"The world(esp EqAnon island)needs more people like @EQcompliments, @HorseShowTutor, @StudioOnWhitney, @DejavuEq &amp; @AthleticEq #AmazingLadies","DT  NFP  NNP  RP  JJR  NNS  IN  NNS  ,  NNP  ,  NNP  ,  NNP  CC  NNP  :  NNP  NN  NNP",1
98,@bentorkington @NZInlandRevenue ...don't bother with KiwiSaver until the kickstart fund is restored,``  DT  NFP  VBP  RB  VB  IN  NNP  IN  DT  NNP  NNP  VBZ  VBN,0
99,"No matter the results, words can't express how proud I am of @csunfasa! All the dedication these new &amp; old members gave left me speechless!","RB  RB  DT  NNS  ,  NNS  MD  RB  VB  WRB  JJ  PRP  VBP  IN  ADD  .  PDT  DT  NN  DT  JJ  CC  NNP  :  JJ  NNS  VBD  VBN  PRP  NN  .",1
100,Hello from the... Nah,UH  IN  DT  .  NNP,1
101,"""Came into the game when white rappers weren't a cliche""

@classified spittin' that truth",``  VBD  IN  DT  NN  WRB  JJ  NNS  VBD  RB  DT  NN  ''  _SP  JJ  NNP  ''  DT  NN,0
102,@EVINELive yep just had to wait until the next day,NNP  UH  RB  VBD  TO  VB  IN  DT  JJ  NN,1
103,ÛÏ@thacelebritea Seen on the Scene: Spotted #RavenSymone out and about earlier this week [r.p @theybfdaily ] https://t.co/sjNH93a0L3Û ÷¼ü÷¼ü÷¼ü,``  VBN  IN  DT  NN  :  VBN  $  NNP  RP  CC  IN  RBR  DT  NN  -LRB-  NN  RB  -RRB-  ADD  JJ,1
104,"@justinbieber  Too much swag the Acoustic version. you are too cool, kept silent makes me laughter has the end with vibratos lol _Ù÷_Ù÷É","VBP  _SP  RB  RB  JJ  DT  JJ  NN  .  PRP  VBP  RB  JJ  ,  VBD  JJ  VBZ  PRP  NN  VBZ  DT  NN  IN  NNS  VBN  NNP  NNP",1
105,Listen to @johnmdonnelly discussing his exclusive reporting on potentially fatal flaws in #F35 ejector seat https://t.co/rZ1BEKbY6P @CQnow,VB  IN  RB  VBG  PRP$  JJ  NN  IN  RB  JJ  NNS  IN  $  NNP  NN  NN  ADD  .,1
106,@BarCampPhilly @FlipperPA Yes! Would love to throw in the hat in for a couple local folks over at @iQmediacorp. Happy to arrange a meet.,",  VB  UH  .  MD  VB  TO  VB  RP  DT  NN  RP  IN  DT  NN  JJ  NNS  RB  IN  NNP  .  JJ  TO  VB  DT  NN  .",1
107,"Coffee Taster's Flavor Wheel from the SCAA
#coffee
https://t.co/GOLukszOLU https://t.co/HJHczkaiQy",NNP  NNP  POS  NNP  NNP  IN  DT  NN  _SP  NNP  NN  _SP  :  ADD,0
108,We have a chance for the first time in decades to elect someone who will not be owned by lobby groups or big corporations. Or Saudi Arabia,PRP  VBP  DT  NN  IN  DT  JJ  NN  IN  NNS  TO  VB  NN  WP  MD  RB  VB  VBN  IN  NN  NNS  CC  JJ  NNS  .  CC  NNP  NNP,0
109,Finally realized I'll never get the answers I want,RB  VBD  PRP  MD  RB  VB  DT  NNS  PRP  VBP,1
110,I saw and met @MarinasDiamonds five months ago today.  I'm forever grateful for the opportunity I was given. _ÙÕ¥_ÙÕ_ https://t.co/vLrCSnqN2I,PRP  VBD  CC  VBD  NNS  CD  NNS  RB  NN  .  _SP  PRP  VBP  RB  JJ  IN  DT  NN  PRP  VBD  VBN  .  NNP  NNP  NNP  NN,0
111,"Starbucks Mobile Ordering Comes to the UK - Mobile Marketing https://t.co/YeCugANJLy
#emarketingmkt412",NNP  NNP  NNP  VBZ  IN  DT  NNP  HYPH  NNP  NNP  .  _SP  NN  NNP,1
112,The little things you do always get me heated,DT  JJ  NNS  PRP  VBP  RB  VB  PRP  JJ,0
113,#Pennsylvania Believing in yourself is the first secret to success! https://t.co/9sIPL3VcxE,$  NNP  VBG  IN  PRP  VBZ  DT  JJ  NN  IN  NN  .  NN,0
114,"Corporate welfare is the worst. Dark funds for the Military industrial complex is another. 

All these posts with... https://t.co/awmdynzFxZ",JJ  NN  VBZ  DT  JJS  .  JJ  NNS  IN  DT  JJ  JJ  NN  VBZ  DT  .  _SP  PDT  DT  NNS  IN  :  NNP,0
115,"Rapper Tyga to appear on the next season of KUWTK and he Will Get $25k Per Appearance
- See more &gt;&gt;... https://t.co/b1Rw1LkjHG",NNP  NNP  TO  VB  IN  DT  JJ  NN  IN  NNP  CC  PRP  MD  VB  $  NNS  IN  NNP  _SP  HYPH  VB  JJR  CC  NN  :  NFP  NNPS,0
116,"#Earth teach me quiet ~
.
.
.
as the grasses are still with new light.",$  NNP  VBP  PRP  JJ  NFP  _SP  .  _SP  .  _SP  .  _SP  IN  DT  NNS  VBP  RB  IN  JJ  NN  .,1
117,"@starsandglitta _ÙÐ¥_Ù_I'm not for the fake friends, good day _Ù÷÷","NNP  NNP  NNS  RB  IN  DT  JJ  NNS  ,  JJ  NN  NNP  NN",1
118,Nothing like the midwest. Had a great weekend at The Ruffin's wedding. Im glad we all came togetherÛ_ https://t.co/DrK2UkEKxV,NN  IN  DT  NN  .  VBD  DT  JJ  NN  IN  DT  NNP  POS  NN  .  PRP  VBP  JJ  PRP  DT  VBD  NNP  NNP  NNP,0
119,Take me back to the time when your clothes took up my drawers,VB  PRP  RB  IN  DT  NN  WRB  PRP$  NNS  VBD  RP  PRP$  NNS,1
120,"Mentally ill woman with her two pink-dyed poodles threatened to shoot someone, followed by the throwing 1/2","RB  JJ  NN  IN  PRP$  CD  JJ  HYPH  JJ  NNS  VBD  TO  VB  NN  ,  VBN  IN  DT  NN  CD",0
121,"@ell_morton i just face timed him like 5 mins ago and they're @ the airport in Dallas, getting a plane in 2 hours. They're okay _Ù÷É_Ù÷É","NNP  PRP  RB  NN  VBD  PRP  IN  CD  NNS  RB  CC  PRP  VBP  IN  DT  NN  IN  NNP  ,  VBG  DT  NN  IN  CD  NNS  .  PRP  VBP  JJ  NNP  NN",1
122,"luv them Photo https://t.co/TeMkNK17aO for the best busty boobs click here or on image#bustyfriends bignaturals, bÛ_ https://t.co/RSbkiea90U","NNP  PRP  NNP  NNP  IN  DT  JJS  JJ  NNS  VBP  RB  CC  IN  NNS  NNS  ,  NNP  NNP  NNP",1
123,The woes_Ù÷__Ù_÷_ÙÕâ https://t.co/CXWHx6DTgW,DT  NNS  .,1
